               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029012,            0.017894,                   0,             0.79503,             0.75194,             0.79005,             0.53112,            0.031498,            0.021116,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.030877,            0.014881,                   0,             0.80413,             0.79845,             0.80569,              0.5256,            0.033088,            0.020308,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.030215,            0.017558,                   0,             0.78944,             0.81377,             0.80639,             0.53594,            0.030507,            0.020394,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.03144,             0.01836,                   0,             0.75844,             0.85271,             0.80903,             0.47802,            0.034193,            0.020341,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032667,            0.014326,                   0,             0.80143,             0.78216,             0.80016,             0.52222,            0.031733,            0.022116,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.032395,            0.017653,                   0,             0.85818,             0.75194,             0.80331,             0.51854,            0.033181,            0.020942,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03211,            0.019038,                   0,             0.89078,             0.75969,             0.83955,             0.56461,            0.032134,             0.02022,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.030343,            0.015702,                   0,             0.85456,             0.77519,             0.83277,             0.54656,            0.032379,            0.020578,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.028683,            0.015463,                   0,              0.9052,             0.74419,             0.82594,             0.55516,            0.032228,            0.021269,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030714,            0.017814,                   0,             0.83001,             0.75969,             0.81607,             0.54823,            0.031931,            0.020866,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.029053,            0.014807,                   0,             0.84662,             0.72868,             0.80814,             0.55974,            0.030801,            0.021458,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.028016,            0.014293,                   0,             0.82113,             0.78292,             0.83403,             0.56991,            0.031149,            0.021005,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.027167,            0.013857,                   0,             0.85343,              0.7673,             0.83352,             0.55452,            0.032655,            0.021169,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029237,             0.01417,                   0,             0.83845,             0.76744,             0.81918,             0.54995,            0.034588,            0.021861,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.029223,            0.015014,                   0,             0.84542,             0.80554,             0.83728,             0.57404,             0.03265,            0.020966,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028081,            0.015771,                   0,                 0.8,             0.83719,             0.84307,             0.57626,            0.031872,            0.019714,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027155,            0.015051,                   0,             0.84027,             0.77519,             0.85033,             0.58102,              0.0314,             0.01945,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.028459,            0.015066,                   0,              0.7862,             0.79845,             0.83055,             0.55836,            0.032567,            0.019844,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02501,            0.014536,                   0,             0.77775,             0.81382,             0.83498,             0.57875,            0.029941,            0.019441,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025286,            0.014543,                   0,             0.78943,             0.81376,             0.83745,                0.57,            0.030492,            0.019454,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025702,            0.015865,                   0,              0.8387,             0.76744,             0.84099,             0.58509,            0.030035,            0.019265,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024034,            0.012754,                   0,              0.8416,             0.78295,             0.84522,             0.59327,             0.02899,            0.019308,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024828,            0.014564,                   0,             0.78073,             0.82946,              0.8547,             0.58587,            0.029764,            0.019311,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.025357,            0.014349,                   0,             0.79963,              0.8062,             0.85508,             0.59839,            0.029419,            0.019423,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023882,            0.013559,                   0,             0.85345,             0.76742,             0.85289,             0.59022,            0.028957,              0.0199,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02381,            0.013513,                   0,              0.8474,             0.77519,             0.85483,             0.57895,            0.030182,             0.01983,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.026174,            0.014221,                   0,             0.83998,             0.81395,             0.86319,             0.60091,            0.028808,            0.019964,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.024283,            0.014565,                   0,             0.84947,              0.7907,              0.8555,             0.58538,            0.030321,            0.020908,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022549,            0.012548,                   0,             0.88495,             0.77512,             0.85095,             0.59617,            0.028447,             0.01962,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022756,             0.01489,                   0,             0.82619,             0.81395,             0.84831,             0.59516,            0.028068,            0.019448,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022911,            0.013864,                   0,             0.87385,             0.75177,             0.84941,             0.60348,            0.028053,            0.019353,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022898,            0.014137,                   0,             0.82167,             0.82171,             0.85196,             0.59662,            0.027807,             0.01925,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02478,            0.013149,                   0,             0.82944,             0.82933,              0.8489,             0.58108,            0.028137,            0.019336,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.023686,            0.014159,                   0,             0.81814,             0.83695,             0.84161,              0.5809,            0.028211,            0.019741,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02383,            0.013495,                   0,             0.78162,             0.86047,             0.84323,             0.57772,            0.028078,            0.019353,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021807,            0.013739,                   0,             0.86794,             0.76744,             0.84419,             0.57523,            0.027954,            0.018976,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023099,            0.013377,                   0,             0.87814,             0.78295,             0.85117,             0.60132,             0.02793,            0.018696,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021837,            0.013197,                   0,             0.87823,             0.78295,             0.85206,             0.59739,            0.027837,            0.018728,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021723,             0.01126,                   0,              0.7945,             0.89909,             0.86015,             0.61277,            0.027687,            0.018685,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02272,            0.012254,                   0,             0.79997,             0.89905,             0.87263,             0.62408,            0.027436,            0.018465,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.023826,            0.014197,                   0,             0.82474,             0.87597,             0.87646,             0.62836,            0.027197,            0.018274,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.022019,            0.013927,                   0,             0.81674,             0.89827,             0.88185,             0.62526,            0.027182,            0.018245,                   0,            0.000991,            0.000991,            0.000991
                  93,              0.0223,            0.013936,                   0,             0.80984,             0.89147,             0.87808,             0.61806,            0.027246,             0.01832,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.022079,             0.01211,                   0,             0.80404,             0.89147,             0.87443,              0.6163,             0.02757,            0.018489,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.020943,            0.011765,                   0,             0.79999,             0.86814,             0.87551,             0.61797,             0.02786,            0.018599,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021915,            0.013784,                   0,              0.7943,              0.8681,              0.8734,             0.61593,             0.02789,            0.018667,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.023592,             0.01386,                   0,             0.85947,              0.8062,              0.8695,             0.61503,            0.027806,            0.018684,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021724,            0.013403,                   0,              0.8595,             0.80617,             0.86992,             0.61364,            0.027619,            0.018529,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021586,            0.013376,                   0,             0.85481,             0.82171,             0.87173,             0.61124,             0.02745,            0.018367,                   0,            0.000298,            0.000298,            0.000298
